iter	RMSE
0	7.722772459
1	7.445896821
2	7.228860958
3	7.024610534
4	6.857042037
5	6.711144495
6	6.60858741
7	6.519842653
8	6.436829017
9	6.366075339
10	6.303677176
11	6.249882676
12	6.208240462
13	6.175144237
14	6.145505841
15	6.110929841
16	6.086505942
17	6.067902582
18	6.054377582
19	6.037264756
20	6.020474521
21	6.008326348
22	5.997007254
23	5.98140333
24	5.978140635
25	5.969215142
26	5.958857626
27	5.950130425
28	5.942721049
29	5.934544372
30	5.929194662
31	5.92289321
32	5.916781495
33	5.909499473
34	5.900002861
35	5.889204677
36	5.883104414
37	5.878720513
38	5.871305359
39	5.865871065
40	5.862402274
41	5.857697152
42	5.854282985
43	5.849988846
44	5.844854467
45	5.84377016
46	5.828386648
47	5.82730694
48	5.82010336
49	5.816525158
50	5.81430169
51	5.813027351
52	5.807766506
53	5.803480407
54	5.801731162
55	5.794934188
56	5.793358228
57	5.791722615
58	5.788600282
59	5.782944309
60	5.778672278
61	5.776507423
62	5.771981719
63	5.769486797
64	5.766022265
65	5.761850662
66	5.759513273
67	5.755327615
68	5.751471803
69	5.748219904
70	5.74275421
71	5.7396657
72	5.736790436
73	5.734394344
74	5.73101401
75	5.728462298
76	5.727024302
77	5.722748731
78	5.718540073
79	5.714832642
80	5.711412122
81	5.708985376
82	5.706261555
83	5.702994634
84	5.700858328
85	5.697829262
86	5.697177841
87	5.69511641
88	5.691505032
89	5.687199958
90	5.684964341
91	5.681980224
92	5.67299988
93	5.670006268
94	5.666342547
95	5.66238628
96	5.660430996
97	5.654065063
98	5.649966043
99	5.648627649
100	5.647870536
101	5.646376206
102	5.644573661
103	5.640680001
104	5.639301828
105	5.636471606
106	5.633677427
107	5.631164651
108	5.628611452
109	5.627632329
110	5.62658799
111	5.625128476
112	5.622582686
113	5.622274451
114	5.619461506
115	5.614059782
116	5.611796086
117	5.607418802
118	5.603447499
119	5.602208937
120	5.600768369
121	5.599662067
122	5.593412063
123	5.591263296
124	5.589297189
125	5.587234322
126	5.583041376
127	5.579702395
128	5.576328432
129	5.574009384
130	5.570019664
131	5.568716662
132	5.568323748
133	5.566290411
134	5.56512393
135	5.563597698
136	5.563163013
137	5.560978442
138	5.55892718
139	5.558092347
140	5.554090464
141	5.545759197
142	5.543732435
143	5.54147872
144	5.54105096
145	5.540641705
146	5.536890891
147	5.533269211
148	5.530408962
149	5.527623124
150	5.526384139
151	5.52351902
152	5.521668615
153	5.519470165
154	5.518079158
155	5.517525382
156	5.51388825
157	5.512673309
158	5.510352668
159	5.5089591
160	5.507206452
161	5.505605693
162	5.504454718
163	5.504192505
164	5.504104527
165	5.497776872
166	5.497223951
167	5.494714206
168	5.494042558
169	5.493104926
170	5.49270817
171	5.49130112
172	5.489738449
173	5.487644513
174	5.485075048
175	5.483692692
176	5.481810826
177	5.48058028
178	5.479601804
179	5.478928513
180	5.47848189
181	5.477504507
182	5.476219981
183	5.475788262
184	5.473044505
185	5.471384115
186	5.468789496
187	5.467106333
188	5.46480226
189	5.46433165
190	5.462608144
191	5.461608212
192	5.459640323
193	5.457762294
194	5.453998876
195	5.452558623
196	5.448975116
197	5.446094065
198	5.444853588
199	5.443636074
200	5.442364243
201	5.438991069
202	5.438521556
203	5.438226278
204	5.436502899
205	5.435383282
206	5.433678696
207	5.428485344
208	5.427818411
209	5.427276314
210	5.425995537
211	5.42376707
212	5.421431403
213	5.420733181
214	5.419554323
215	5.41838778
216	5.416180843
217	5.414605361
218	5.410997171
219	5.408975391
