iter	Passed	Remaining
0	20	10397
1	36	9135
2	49	8202
3	61	7587
4	76	7533
5	92	7642
6	105	7441
7	120	7433
8	134	7330
9	152	7466
10	169	7548
11	183	7444
12	191	7155
13	200	6945
14	210	6792
15	217	6586
16	225	6399
17	232	6228
18	240	6098
19	248	5971
20	256	5860
21	263	5723
22	282	5852
23	291	5780
24	301	5728
25	311	5669
26	323	5662
27	335	5660
28	346	5623
29	380	5955
30	390	5904
31	401	5866
32	413	5855
33	426	5839
34	437	5810
35	451	5815
36	463	5796
37	479	5834
38	488	5775
39	499	5746
40	567	6353
41	603	6577
42	635	6752
43	646	6702
44	663	6710
45	680	6715
46	705	6796
47	721	6791
48	742	6832
49	759	6836
50	778	6857
51	810	6980
52	822	6941
53	838	6929
54	858	6942
55	878	6966
56	900	7000
57	928	7074
58	939	7025
59	956	7015
60	971	6989
61	981	6936
62	996	6909
63	1012	6897
64	1032	6909
65	1060	6972
66	1104	7138
67	1134	7206
68	1170	7309
69	1194	7339
70	1206	7292
71	1218	7244
72	1233	7214
73	1252	7207
74	1271	7207
75	1285	7171
76	1299	7138
77	1311	7094
78	1323	7054
79	1333	7000
80	1347	6971
81	1360	6935
82	1382	6944
83	1422	7044
84	1478	7218
85	1526	7346
86	1564	7426
87	1577	7385
88	1593	7358
89	1600	7292
90	1608	7231
91	1631	7234
92	1639	7176
93	1647	7116
94	1657	7064
95	1664	7005
96	1673	6952
97	1681	6898
98	1689	6841
99	1695	6781
100	1703	6729
101	1710	6675
102	1718	6623
103	1725	6570
104	1735	6528
105	1743	6481
106	1752	6434
107	1758	6381
108	1765	6333
109	1771	6282
110	1778	6233
111	1789	6200
112	1798	6158
113	1804	6109
114	1811	6063
115	1820	6025
116	1828	5984
117	1838	5953
118	1850	5924
119	1860	5890
120	1870	5857
121	1876	5813
122	1883	5772
123	1890	5731
124	1897	5692
125	1905	5656
126	1914	5621
127	1923	5591
128	1931	5554
129	1940	5524
130	1949	5490
131	1962	5471
132	1974	5447
133	1984	5420
134	1993	5388
135	2000	5353
136	2007	5318
137	2014	5284
138	2031	5275
139	2038	5241
140	2041	5198
141	2047	5160
142	2050	5119
143	2055	5080
144	2058	5038
145	2063	5003
146	2068	4968
147	2074	4934
148	2078	4897
149	2081	4857
150	2085	4819
151	2089	4783
152	2093	4747
153	2100	4718
154	2103	4682
155	2107	4646
156	2110	4611
157	2115	4578
158	2120	4548
159	2126	4518
160	2132	4489
161	2138	4461
162	2140	4426
163	2145	4395
164	2149	4364
165	2154	4335
166	2159	4306
167	2164	4276
168	2170	4251
169	2177	4226
170	2180	4196
171	2184	4166
172	2188	4136
173	2194	4111
174	2199	4085
175	2206	4062
176	2211	4036
177	2216	4009
178	2222	3985
179	2228	3962
180	2234	3938
181	2240	3913
182	2245	3889
183	2250	3865
184	2256	3842
185	2261	3818
186	2267	3795
187	2272	3770
188	2276	3745
189	2279	3719
190	2285	3696
191	2290	3673
192	2294	3650
193	2299	3626
194	2302	3601
195	2306	3576
196	2312	3556
197	2316	3533
198	2320	3509
199	2326	3490
200	2330	3466
201	2334	3443
202	2338	3421
203	2345	3402
204	2351	3383
205	2357	3364
206	2361	3342
207	2364	3318
208	2367	3296
209	2372	3276
210	2376	3254
211	2381	3235
212	2385	3213
213	2390	3194
214	2393	3172
215	2397	3151
216	2400	3130
217	2406	3113
218	2410	3093
219	2414	3073
220	2420	3055
221	2427	3040
222	2431	3020
223	2436	3002
224	2440	2983
225	2445	2964
226	2449	2945
227	2455	2929
228	2460	2912
229	2466	2895
230	2471	2877
231	2474	2858
232	2480	2842
233	2485	2825
234	2489	2807
235	2496	2793
236	2501	2776
237	2507	2760
238	2511	2742
239	2514	2724
240	2519	2707
241	2523	2690
242	2529	2674
243	2532	2656
244	2538	2641
245	2544	2627
246	2548	2610
247	2555	2596
248	2561	2582
249	2566	2566
250	2571	2550
251	2574	2533
252	2577	2516
253	2582	2500
254	2586	2485
255	2589	2468
256	2594	2453
257	2597	2436
258	2602	2421
259	2606	2405
260	2613	2392
261	2618	2378
262	2622	2363
263	2626	2348
264	2630	2332
265	2635	2318
266	2639	2303
267	2644	2288
268	2647	2273
269	2651	2258
270	2654	2243
271	2660	2229
272	2665	2216
273	2669	2201
274	2673	2187
275	2676	2172
276	2679	2157
277	2683	2143
278	2687	2128
279	2691	2114
280	2696	2101
281	2702	2088
282	2707	2076
283	2711	2061
284	2716	2049
285	2719	2035
286	2723	2021
287	2726	2006
288	2730	1993
289	2736	1981
290	2741	1969
291	2746	1956
292	2751	1943
293	2754	1930
294	2758	1917
295	2762	1904
296	2768	1892
297	2785	1888
298	2791	1876
299	2797	1865
300	2800	1851
301	2805	1839
302	2808	1826
303	2814	1814
304	2818	1801
305	2821	1788
306	2824	1775
307	2832	1765
308	2837	1753
309	2841	1741
310	2847	1730
311	2850	1717
312	2855	1705
313	2862	1695
314	2866	1683
315	2872	1672
316	2875	1660
317	2880	1648
318	2883	1636
319	2889	1625
320	2894	1614
321	2897	1601
322	2901	1589
323	2904	1577
324	2908	1566
325	2912	1554
326	2917	1543
327	2922	1532
328	2926	1521
329	2931	1510
330	2936	1499
331	2940	1487
332	2947	1478
333	2953	1467
334	2956	1456
335	2962	1446
336	2966	1434
337	2969	1423
338	2972	1411
339	2976	1400
340	2982	1390
341	2987	1379
342	2990	1369
343	2997	1359
344	3001	1348
345	3004	1337
346	3007	1326
347	3014	1316
348	3031	1311
349	3037	1301
350	3045	1292
351	3052	1283
352	3057	1273
353	3064	1263
354	3070	1254
355	3077	1244
356	3083	1235
357	3089	1225
358	3095	1215
359	3101	1206
360	3109	1197
361	3115	1187
362	3121	1178
363	3128	1168
364	3133	1158
365	3138	1149
366	3144	1139
367	3149	1129
368	3155	1120
369	3160	1110
370	3167	1101
371	3173	1092
372	3179	1082
373	3186	1073
374	3192	1064
375	3199	1055
376	3206	1046
377	3212	1036
378	3218	1027
379	3223	1017
380	3229	1008
381	3235	999
382	3241	990
383	3247	981
384	3254	971
385	3260	962
386	3264	953
387	3270	943
388	3276	934
389	3282	925
390	3285	916
391	3291	906
392	3297	897
393	3300	888
394	3306	878
395	3314	870
396	3319	861
397	3325	852
398	3331	843
399	3335	833
400	3340	824
401	3344	815
402	3348	806
403	3352	796
404	3359	787
405	3366	779
406	3373	770
407	3379	761
408	3383	752
409	3388	743
410	3391	734
411	3398	725
412	3402	716
413	3406	707
414	3411	698
415	3418	690
416	3424	681
417	3428	672
418	3432	663
419	3437	654
420	3440	645
421	3444	636
422	3449	627
423	3455	619
424	3458	610
425	3462	601
426	3471	593
427	3479	585
428	3485	576
429	3492	568
430	3499	560
431	3506	551
432	3514	543
433	3523	535
434	3529	527
435	3545	520
436	3552	512
437	3557	503
438	3562	495
439	3568	486
440	3578	478
441	3584	470
442	3590	461
443	3595	453
