iter	RMSE
0	6.997938495
1	6.990492845
2	6.982124174
3	6.973531756
4	6.96410417
5	6.955729045
6	6.947918378
7	6.939270704
8	6.931847426
9	6.923198382
10	6.918170002
11	6.910790744
12	6.903884151
13	6.895550109
14	6.888366221
15	6.881362144
16	6.875256485
17	6.870548284
18	6.863234881
19	6.85703942
20	6.851495721
21	6.845027555
22	6.838927019
23	6.834198185
24	6.827859455
25	6.821898609
26	6.815039931
27	6.809682958
28	6.803491632
29	6.797348838
30	6.791341642
31	6.785718983
32	6.781004886
33	6.77540525
34	6.769351721
35	6.76323818
36	6.756460669
37	6.751063423
38	6.747275198
39	6.742785507
40	6.737243709
41	6.732605859
42	6.727592704
43	6.721581547
44	6.716527474
45	6.711965973
46	6.707760016
47	6.702714828
48	6.697730453
49	6.693843784
50	6.689674289
51	6.684847375
52	6.681223115
53	6.676749671
54	6.673665628
55	6.670090552
56	6.665472379
57	6.660419608
58	6.656040551
59	6.651363959
60	6.647009282
61	6.642914317
62	6.637865678
63	6.634595533
64	6.630070903
65	6.628159411
66	6.623967245
67	6.619751206
68	6.615963511
69	6.611934821
70	6.608171022
71	6.606339187
72	6.603267676
73	6.599989223
74	6.595891325
75	6.59200537
76	6.587834448
77	6.584181649
78	6.581037485
79	6.577388322
80	6.574136638
81	6.571139938
82	6.567902727
83	6.563755071
84	6.560843439
85	6.55764954
86	6.554775317
87	6.551218798
88	6.547867474
89	6.542990709
90	6.540104495
91	6.536289592
92	6.532651327
93	6.529168872
94	6.525525494
95	6.522409171
96	6.519791501
97	6.516704939
98	6.513282056
99	6.50977359
100	6.506494264
101	6.503388644
102	6.500424358
103	6.498014532
104	6.495777482
105	6.494390495
106	6.491750741
107	6.489186442
108	6.486699322
109	6.484225723
110	6.481447352
111	6.478743377
112	6.475957154
113	6.473296675
114	6.470936054
115	6.468153124
116	6.464561663
117	6.461338664
118	6.458158191
119	6.455533094
120	6.452783674
121	6.450524693
122	6.447698645
123	6.444224241
124	6.441651654
125	6.440366638
126	6.43750222
127	6.435574612
128	6.43326257
129	6.430270766
130	6.427488488
131	6.4252649
132	6.423340016
133	6.420712497
134	6.419662101
135	6.417709523
136	6.415437892
137	6.412079996
138	6.410143841
139	6.407587897
140	6.404598174
141	6.402658817
142	6.400160602
143	6.398481347
144	6.395969503
145	6.393931532
146	6.391308229
147	6.389542751
148	6.387675317
149	6.385367653
150	6.383208934
151	6.379829833
152	6.377594996
153	6.375202314
154	6.372993595
155	6.371649661
156	6.37029084
157	6.36813815
158	6.366318257
159	6.364809527
160	6.363357954
161	6.361427307
162	6.359362033
163	6.357047854
164	6.354586363
165	6.353442646
166	6.35146936
167	6.348820832
168	6.347257598
169	6.345781073
170	6.343676275
171	6.34202593
172	6.339946724
173	6.338133259
174	6.335890995
175	6.33379452
176	6.33187466
177	6.329566439
178	6.327855649
179	6.325403664
180	6.323706051
181	6.321859191
182	6.319742685
183	6.318301368
184	6.315996478
185	6.313791396
186	6.312914506
187	6.311416554
188	6.309105687
189	6.307033532
190	6.305495145
