iter	Passed	Remaining
0	28	28102
1	52	26045
2	74	24883
3	97	24307
4	124	24718
5	148	24657
6	174	24699
7	200	24849
8	221	24438
9	246	24426
10	271	24426
11	312	25731
12	354	26878
13	393	27739
14	442	29027
15	488	30026
16	560	32433
17	629	34338
18	672	34703
19	714	35012
20	757	35295
21	834	37080
22	914	38858
23	978	39810
24	1037	40452
25	1101	41262
26	1145	41274
27	1200	41681
28	1275	42714
29	1328	42939
30	1381	43181
31	1451	43907
32	1501	43985
33	1563	44431
34	1643	45309
35	1704	45637
36	1767	46007
37	1825	46209
38	1890	46585
39	1934	46439
40	1976	46221
41	2035	46424
42	2102	46786
43	2178	47323
44	2224	47200
45	2264	46964
46	2308	46812
47	2347	46562
48	2388	46361
49	2427	46121
50	2464	45851
51	2505	45685
52	2546	45498
53	2581	45226
54	2619	45006
55	2658	44807
56	2705	44760
57	2756	44774
58	2809	44803
59	2851	44678
60	2888	44456
61	2924	44250
62	2961	44043
63	3005	43949
64	3041	43746
65	3079	43572
66	3119	43435
67	3160	43319
68	3193	43088
69	3227	42874
70	3235	42338
71	3267	42114
72	3312	42069
73	3370	42175
74	3400	41940
75	3440	41824
76	3475	41659
77	3522	41638
78	3569	41619
79	3621	41642
80	3677	41725
81	3732	41790
82	3779	41761
83	3817	41633
84	3861	41564
85	3901	41467
86	3917	41113
87	3960	41041
88	4010	41050
89	4048	40938
90	4088	40835
91	4133	40791
92	4189	40863
93	4271	41169
94	4326	41210
95	4386	41308
96	4456	41488
97	4524	41643
98	4577	41659
99	4633	41703
100	4692	41764
101	4743	41765
102	4861	42334
103	5014	43205
104	5121	43657
105	5219	44019
106	5288	44137
107	5340	44107
108	5391	44072
109	5448	44080
110	5582	44707
111	5741	45522
112	5798	45514
113	5846	45437
114	5908	45468
115	5959	45416
116	6012	45376
117	6063	45322
118	6103	45188
119	6149	45092
120	6198	45031
121	6258	45038
122	6317	45045
123	6400	45215
124	6452	45167
125	6502	45103
126	6552	45042
127	6596	44938
128	6657	44953
129	6722	44989
130	7157	47477
131	7239	47607
132	7291	47532
