iter	RMSE
0	6.995890711
1	6.987420377
2	6.978745255
3	6.970458035
4	6.961557394
5	6.952491675
6	6.9444883
7	6.93891637
8	6.930714574
9	6.922989732
10	6.915736482
11	6.908070229
12	6.900909226
13	6.892469424
14	6.885115503
15	6.878104018
16	6.871302062
17	6.8663296
18	6.858942098
19	6.852714256
20	6.846082526
21	6.839958146
22	6.833754232
23	6.826806499
24	6.820978948
25	6.815624422
26	6.808783333
27	6.803229049
28	6.79627105
29	6.790907549
30	6.784240453
31	6.778661959
32	6.772450338
33	6.766543804
34	6.761604318
35	6.756106352
36	6.751101937
37	6.745753172
38	6.740756466
39	6.734744894
40	6.729402476
41	6.723633835
42	6.718834785
43	6.713403975
44	6.708252298
45	6.702405144
46	6.697409978
47	6.692863928
48	6.687821582
49	6.682606597
50	6.678266647
51	6.674292445
52	6.670178249
53	6.665866603
54	6.661742661
55	6.656692987
56	6.652420993
57	6.648015248
58	6.644124285
59	6.63958424
60	6.634624223
61	6.630318795
62	6.627178392
63	6.623028658
64	6.618545557
65	6.6147813
66	6.610719896
67	6.605928256
68	6.601510451
69	6.597581953
70	6.594546455
71	6.590670508
72	6.586609978
73	6.583134783
74	6.579818872
75	6.576571541
76	6.574009846
77	6.570657647
78	6.567814876
79	6.563464399
80	6.559120284
81	6.555319923
82	6.551677422
83	6.548608656
84	6.545079596
85	6.543710265
86	6.540692107
87	6.537716266
88	6.534907762
89	6.532744657
90	6.529081513
91	6.526024473
92	6.524030482
93	6.521023619
94	6.518530522
95	6.515480791
96	6.512840408
97	6.510308118
98	6.506999753
99	6.504167034
100	6.501511383
101	6.498162282
102	6.495374902
103	6.493288667
104	6.49031932
105	6.487245182
106	6.483957148
107	6.480064135
108	6.477310716
109	6.475547866
110	6.473532473
111	6.470844406
112	6.468019845
113	6.466023049
114	6.46283128
115	6.460719066
116	6.458096133
117	6.455915675
118	6.45360422
119	6.452790765
120	6.451374766
121	6.449444012
122	6.446767909
123	6.444409063
124	6.441513079
125	6.439548693
126	6.437730734
127	6.435279101
128	6.432796083
129	6.429980446
130	6.427920551
131	6.426298528
132	6.424567966
133	6.422378494
