iter	RMSE
0	6.995814337
1	6.987123613
2	6.978651448
3	6.972066152
4	6.963907889
5	6.956384958
6	6.948335899
7	6.939802272
8	6.93129125
9	6.923598173
10	6.915616969
11	6.908620544
12	6.902637663
13	6.895684421
14	6.888287103
15	6.882744912
16	6.875721254
17	6.869242396
18	6.862229089
19	6.855774954
20	6.849436163
21	6.842940687
22	6.836717862
23	6.831118131
24	6.824641
25	6.818518239
26	6.813153463
27	6.808470008
28	6.801969389
29	6.795753282
30	6.789765378
31	6.783469674
32	6.778876289
33	6.772849685
34	6.768751961
35	6.765794922
36	6.761122291
37	6.755547379
38	6.750096286
39	6.744976036
40	6.740479863
41	6.735308896
42	6.729891509
43	6.725192962
44	6.720919489
45	6.715956581
46	6.711771915
47	6.707603227
48	6.703740139
49	6.69964502
50	6.695257847
51	6.691133957
52	6.686217927
53	6.682065717
54	6.678094417
55	6.673893719
56	6.670313322
57	6.665786118
58	6.661491655
59	6.657737241
60	6.653557766
61	6.649946533
62	6.646262601
63	6.64217438
64	6.637898851
65	6.634823911
66	6.631990753
67	6.628613252
68	6.625364982
69	6.621965789
70	6.618616641
71	6.615239146
72	6.611482614
73	6.607698601
74	6.605145922
75	6.60209404
76	6.597870019
77	6.595204055
78	6.592604589
79	6.589489388
80	6.586320958
81	6.582414271
82	6.578759047
83	6.576598708
84	6.573895968
85	6.569956507
86	6.568573794
87	6.565467695
88	6.562493405
89	6.559743583
90	6.556906526
91	6.554571507
92	6.551908724
93	6.54860199
94	6.545611544
95	6.544058379
96	6.541564989
97	6.538389543
98	6.535379508
99	6.532181011
100	6.529839785
101	6.527061854
102	6.524576788
103	6.522261238
104	6.521320174
105	6.51875223
106	6.516926891
107	6.515184927
108	6.512733294
109	6.511771863
110	6.509767088
111	6.508203644
112	6.505765661
113	6.503470446
114	6.501148842
115	6.499297279
116	6.497278395
117	6.494790773
118	6.493720931
119	6.490654077
120	6.487940754
121	6.485029506
122	6.483607386
123	6.481770369
124	6.480112354
125	6.477816637
126	6.476312903
127	6.474352988
128	6.472320016
129	6.470318718
130	6.46853311
131	6.466947232
132	6.465371385
133	6.463934324
134	6.462520255
135	6.4603102
136	6.458681494
137	6.456694313
138	6.455436483
139	6.453031046
140	6.450585876
141	6.448648239
142	6.446863023
143	6.445174563
144	6.442983585
145	6.441006288
146	6.439417708
147	6.437060216
148	6.434531176
149	6.432975835
150	6.430681579
151	6.428899974
152	6.427829063
153	6.425914649
154	6.424102197
155	6.422527174
156	6.421920389
157	6.420393826
158	6.419475376
159	6.418265482
160	6.416590033
161	6.41450186
162	6.413576484
163	6.411700622
164	6.410338323
165	6.408572409
166	6.406838013
167	6.40604013
168	6.403974481
169	6.403577307
170	6.401599747
171	6.400202588
172	6.398092223
173	6.397476004
174	6.395596693
175	6.393624545
176	6.392016157
177	6.39084394
178	6.389753549
179	6.389525736
180	6.388441983
181	6.386331682
182	6.385245047
183	6.383825761
184	6.382477902
185	6.381526155
186	6.380071517
187	6.378567137
188	6.376927863
189	6.375923208
190	6.374808096
191	6.373356687
192	6.371223841
193	6.371030476
194	6.369785384
195	6.36819687
196	6.367016474
197	6.36564201
198	6.364609787
199	6.363061648
200	6.361971024
201	6.360014764
202	6.357412063
203	6.356329335
204	6.35515094
205	6.353823476
206	6.352586122
207	6.351705434
208	6.350702079
209	6.348838485
210	6.346659663
211	6.345650352
212	6.344930057
213	6.343889812
214	6.343105133
215	6.341228868
216	6.340320186
217	6.339237055
218	6.337919257
219	6.336917869
220	6.335720932
221	6.334818799
222	6.333744321
223	6.332828062
224	6.331869604
225	6.330933859
226	6.329020556
227	6.327404307
228	6.326023322
229	6.32485839
230	6.323717133
231	6.323113432
232	6.321896802
233	6.320472398
234	6.31897473
235	6.318590334
236	6.317148137
237	6.315971685
238	6.31449042
239	6.31315461
240	6.312267166
241	6.311371752
242	6.309717327
243	6.308233988
244	6.306808368
245	6.305851817
246	6.304637273
247	6.304233488
248	6.30313654
249	6.301896652
250	6.301116355
251	6.30032563
252	6.299730023
253	6.29930846
254	6.298364318
255	6.297739704
256	6.296457124
257	6.295871463
258	6.294933756
259	6.293835805
260	6.293420027
261	6.292810033
262	6.291831203
263	6.291258663
264	6.290201876
265	6.290168329
266	6.289552244
267	6.289187455
268	6.288259314
269	6.287243645
270	6.285503559
271	6.284990897
272	6.283910656
273	6.282632618
274	6.281802394
275	6.281201596
276	6.279234304
277	6.277621987
278	6.276104974
279	6.274959072
280	6.274149922
281	6.27362002
282	6.272171253
283	6.271757806
284	6.270453968
285	6.268991064
286	6.268223881
287	6.266940887
288	6.265776259
289	6.265059441
290	6.264476416
291	6.26351812
292	6.262583362
293	6.262031929
294	6.261361118
295	6.260331045
296	6.259441931
297	6.259285898
298	6.258596239
299	6.257745313
300	6.257622978
301	6.2571424
302	6.256220209
303	6.255622767
304	6.255047656
305	6.254309875
306	6.252864848
307	6.252141017
308	6.25159032
309	6.250696668
310	6.249934479
311	6.249430454
312	6.247520036
313	6.247053954
314	6.246221027
