iter	Passed	Remaining
0	15	15126
1	29	14857
2	48	16077
3	56	14160
4	68	13719
5	81	13504
6	94	13439
7	108	13429
8	121	13400
9	147	14598
10	171	15386
11	190	15652
12	215	16340
13	242	17107
14	273	17961
15	323	19870
16	345	20003
17	374	20425
18	395	20429
19	415	20366
20	504	23496
21	517	23017
22	530	22544
23	540	22000
24	554	21612
25	564	21141
26	575	20755
27	586	20347
28	596	19987
29	721	23314
30	815	25500
31	857	25926
32	880	25793
33	903	25658
34	914	25222
35	921	24665
36	944	24569
37	980	24830
38	1018	25106
39	1042	25008
40	1059	24786
41	1070	24419
42	1082	24097
43	1094	23775
44	1106	23488
45	1125	23345
46	1142	23161
47	1157	22950
48	1167	22655
49	1178	22386
50	1190	22148
51	1209	22055
52	1231	22005
53	1259	22066
54	1282	22033
55	1314	22165
56	1349	22328
57	1380	22425
58	1406	22425
59	1441	22591
60	1463	22535
61	1488	22522
62	1590	23655
63	1609	23540
64	1633	23494
65	1653	23403
66	1676	23343
67	1709	23431
68	1734	23407
69	1759	23379
70	1793	23469
71	1826	23540
72	1860	23624
73	1886	23606
74	1905	23506
75	1925	23414
76	1953	23412
77	1999	23629
78	2145	25018
79	2257	25966
80	2288	25970
81	2327	26058
82	2359	26064
83	2372	25869
84	2403	25877
85	2445	25986
86	2472	25944
87	2509	26009
88	2548	26090
89	2578	26069
90	2751	27488
91	2808	27719
92	2826	27570
93	2851	27487
94	2873	27373
95	2887	27191
96	2914	27130
97	2936	27028
98	2957	26915
99	2979	26817
100	3004	26745
101	3025	26636
102	3052	26586
103	3076	26505
104	3084	26289
105	3103	26171
106	3126	26089
107	3164	26139
108	3246	26539
109	3272	26479
110	3317	26571
111	3369	26715
112	3400	26694
113	3436	26711
114	3467	26686
115	3512	26765
116	3542	26737
117	3611	26991
118	3647	27001
119	3678	26977
120	3749	27234
121	3903	28094
122	3997	28504
123	4053	28638
124	4092	28648
125	4163	28880
126	4198	28862
127	4223	28773
128	4323	29194
129	4606	30829
130	4775	31677
131	4935	32454
132	4978	32456
133	5013	32398
134	5120	32810
135	5145	32689
136	5185	32666
137	5211	32552
138	5243	32479
139	5267	32358
140	5295	32261
141	5322	32161
142	5346	32042
143	5378	31974
144	5412	31912
145	5436	31798
146	5460	31686
147	5485	31578
148	5505	31445
149	5527	31324
150	5552	31218
151	5578	31122
152	5604	31025
153	5633	30949
154	5663	30876
155	5703	30855
156	5719	30711
157	5755	30671
158	5775	30549
159	5806	30482
160	5850	30489
161	5874	30387
162	5897	30282
163	5954	30353
164	6278	31770
165	6652	33422
166	6674	33293
167	6694	33154
168	6719	33039
169	6733	32873
170	6762	32784
171	6790	32689
172	6818	32593
173	6922	32861
174	7034	33162
175	7145	33454
176	7167	33325
177	7191	33209
178	7215	33094
179	7222	32902
180	7246	32788
181	7272	32684
182	7299	32588
183	7318	32454
184	7338	32330
185	7360	32210
186	7382	32096
187	7403	31974
188	7423	31852
189	7444	31737
190	7465	31619
191	7484	31497
192	7505	31382
193	7512	31209
194	7533	31099
195	7555	30992
196	7578	30893
197	7605	30804
198	7626	30698
199	7651	30607
200	7674	30507
201	7695	30401
202	7718	30304
203	7742	30210
204	7767	30121
205	7791	30031
206	7818	29953
207	7843	29864
208	7876	29810
209	7907	29747
210	7934	29671
211	7960	29589
212	7985	29505
213	8006	29408
214	8030	29321
215	8052	29227
216	8071	29124
217	8090	29023
218	8108	28917
219	8155	28914
220	8232	29016
221	8257	28938
222	8275	28835
223	8294	28736
224	8315	28642
225	8337	28553
226	8361	28472
227	8389	28405
228	8557	28810
229	8735	29245
230	8780	29231
231	8814	29179
232	8845	29118
233	8869	29035
234	8896	28960
235	8922	28884
236	8952	28820
237	8985	28769
238	9011	28692
239	9054	28671
240	9084	28611
241	9132	28606
242	9162	28543
243	9189	28471
244	9218	28407
245	9327	28589
246	9347	28496
247	9369	28409
248	9387	28313
249	9403	28211
250	9419	28108
251	9437	28014
252	9455	27919
253	9475	27829
254	9496	27743
255	9514	27650
256	9530	27554
257	9549	27463
258	9567	27373
259	9603	27332
260	9627	27259
261	9696	27313
262	9740	27296
263	9780	27265
264	9824	27249
265	9835	27138
266	9858	27063
267	9878	26980
268	9903	26911
269	9928	26842
270	9948	26762
271	9970	26686
272	9994	26615
273	10017	26543
274	10040	26471
275	10062	26395
276	10084	26320
277	10103	26240
278	10124	26164
279	10147	26093
280	10168	26019
281	10190	25946
282	10210	25867
283	10233	25799
284	10253	25722
285	10275	25652
286	10294	25575
287	10312	25493
288	10422	25640
289	10456	25600
290	10529	25655
291	10800	26187
292	10841	26160
293	10877	26120
294	10942	26150
295	10988	26134
296	11018	26080
297	11029	25982
298	11059	25928
299	11080	25853
300	11087	25747
301	11107	25672
302	11126	25595
303	11147	25521
304	11168	25449
305	11186	25371
306	11217	25321
307	11238	25251
308	11260	25182
309	11281	25111
310	11300	25035
311	11321	24964
312	11342	24895
313	11365	24830
314	11388	24764
315	11414	24708
316	11523	24828
317	11543	24756
318	11578	24718
319	11596	24643
320	11612	24563
321	11632	24493
322	11653	24424
323	11675	24360
324	11699	24299
325	11718	24227
326	11740	24163
327	11760	24094
328	11769	24003
329	11790	23938
330	11810	23870
331	11833	23808
332	11855	23746
333	11875	23680
334	11896	23614
335	11916	23549
336	11938	23486
337	11960	23426
338	11976	23351
339	12001	23297
340	12023	23236
341	12062	23208
342	12079	23137
343	12098	23071
344	12124	23019
345	12143	22954
346	12166	22894
347	12190	22840
348	12209	22774
349	12243	22737
350	12277	22701
351	12304	22651
352	12325	22590
353	12346	22531
354	12367	22470
355	12386	22406
356	12403	22339
357	12418	22270
358	12436	22205
359	12453	22139
360	12470	22073
361	12484	22003
362	12499	21934
363	12522	21879
364	12618	21952
365	12636	21889
366	12653	21825
367	12668	21757
368	12686	21693
369	12691	21609
370	12706	21542
371	12721	21476
372	12740	21415
373	12758	21354
374	12786	21310
375	12810	21259
376	12832	21206
377	12855	21153
378	12874	21095
379	12894	21037
380	12912	20978
381	12933	20924
382	12951	20864
383	12986	20832
384	13084	20901
385	13103	20843
386	13139	20812
387	13174	20779
388	13212	20752
389	13268	20753
390	13289	20698
391	13310	20644
392	13330	20589
393	13352	20536
394	13364	20469
395	13385	20416
396	13407	20363
397	13425	20306
398	13441	20247
399	13458	20187
400	13473	20126
401	13492	20071
402	13512	20017
403	13530	19961
404	13548	19904
405	13569	19852
406	13597	19812
407	13658	19817
408	13708	19808
409	13723	19747
410	13737	19686
411	13745	19617
412	13754	19549
413	13765	19483
414	13779	19423
415	13792	19362
416	13806	19302
417	13821	19243
418	13829	19176
419	13838	19110
420	13851	19049
421	13863	18987
422	13877	18929
423	13891	18872
424	13894	18798
425	13909	18742
426	13922	18683
427	13939	18628
428	13954	18573
429	13970	18519
430	13987	18466
431	13997	18403
432	14007	18342
433	14016	18280
434	14029	18222
435	14040	18162
436	14055	18108
437	14064	18046
438	14075	17987
439	14091	17934
440	14106	17880
441	14125	17832
442	14144	17784
443	14177	17753
444	14193	17702
445	14208	17648
446	14224	17597
447	14240	17546
448	14250	17487
449	14254	17422
450	14266	17366
451	14276	17308
452	14285	17250
453	14302	17201
454	14319	17151
455	14329	17094
456	14340	17039
457	14356	16988
458	14365	16931
459	14380	16881
460	14382	16815
461	14392	16760
462	14402	16704
463	14412	16649
464	14421	16593
465	14433	16539
466	14445	16486
467	14460	16438
468	14476	16390
469	14498	16349
470	14518	16306
471	14537	16262
472	14549	16211
473	14559	16156
474	14569	16103
475	14579	16050
476	14590	15997
477	14601	15945
478	14613	15894
479	14624	15842
480	14635	15791
481	14647	15741
482	14650	15681
483	14653	15622
484	14664	15571
485	14679	15524
486	14691	15475
487	14789	15516
488	14806	15472
489	14820	15425
490	14829	15372
491	14837	15320
492	14845	15266
