iter	Passed	Remaining
0	7	7972
1	14	7156
2	22	7443
3	33	8291
4	40	8097
5	47	7847
6	54	7734
7	61	7653
8	68	7507
9	74	7398
10	81	7360
11	89	7361
12	94	7204
13	101	7131
14	107	7041
15	112	6918
16	118	6826
17	124	6786
18	128	6640
19	133	6558
20	138	6473
21	144	6401
22	149	6348
23	154	6266
24	158	6194
25	164	6160
26	170	6135
27	174	6042
28	178	5980
29	184	5960
30	189	5909
31	195	5903
32	200	5886
33	205	5846
34	210	5792
35	216	5785
36	220	5737
37	226	5726
38	231	5692
39	236	5674
40	241	5637
41	247	5641
42	251	5603
43	263	5722
44	269	5729
45	274	5691
46	280	5694
47	286	5688
48	291	5662
49	300	5704
50	304	5667
51	309	5646
52	315	5636
53	321	5624
54	325	5596
55	331	5586
56	335	5550
57	340	5537
58	346	5522
59	353	5535
60	358	5524
61	365	5527
62	371	5519
63	376	5506
64	382	5508
65	385	5451
66	390	5443
67	396	5436
68	402	5424
69	406	5402
70	412	5392
71	417	5375
72	422	5369
73	429	5371
74	435	5370
75	439	5345
76	445	5340
77	451	5338
78	456	5327
79	462	5319
80	467	5307
81	471	5282
82	482	5334
83	488	5328
84	494	5327
85	499	5309
86	504	5297
87	506	5245
88	511	5237
89	517	5234
90	522	5222
91	528	5217
92	534	5208
93	539	5202
94	545	5195
95	551	5193
96	557	5190
97	579	5336
98	585	5326
99	599	5391
100	604	5381
101	612	5393
102	617	5381
103	623	5370
104	629	5367
105	635	5362
106	640	5347
107	646	5342
108	652	5331
109	657	5317
110	663	5313
111	669	5304
112	674	5291
113	680	5292
114	686	5279
115	691	5267
116	697	5262
117	702	5253
118	708	5247
119	714	5241
120	720	5230
121	726	5227
122	731	5215
123	738	5218
124	747	5232
125	753	5227
126	759	5220
127	766	5220
128	770	5205
129	776	5199
130	781	5184
131	786	5173
132	793	5173
133	798	5163
134	804	5154
135	810	5151
136	816	5143
137	821	5132
138	828	5134
139	836	5135
140	842	5134
141	848	5128
142	854	5119
143	860	5116
144	866	5111
145	878	5139
146	885	5139
147	894	5151
148	900	5143
149	914	5181
150	918	5167
151	928	5178
152	934	5175
153	946	5198
154	951	5186
155	958	5188
156	963	5175
157	970	5172
158	990	5237
159	1009	5302
160	1034	5392
161	1042	5390
162	1058	5435
163	1064	5424
164	1069	5414
165	1076	5409
166	1082	5400
167	1089	5393
168	1095	5384
169	1100	5373
170	1106	5366
171	1112	5353
172	1116	5336
173	1122	5330
174	1129	5325
175	1138	5332
176	1145	5327
177	1150	5314
178	1158	5311
179	1162	5297
180	1168	5286
181	1175	5281
182	1179	5266
183	1185	5255
184	1191	5249
185	1196	5237
186	1203	5230
187	1208	5221
188	1213	5206
189	1219	5200
190	1225	5192
191	1229	5175
192	1235	5165
193	1241	5156
194	1245	5142
195	1250	5129
196	1255	5118
197	1261	5107
198	1265	5094
199	1271	5087
200	1276	5076
201	1282	5065
202	1287	5055
203	1292	5041
204	1296	5029
205	1303	5024
206	1308	5010
207	1313	5000
208	1317	4987
209	1323	4978
210	1327	4965
211	1332	4951
212	1337	4941
213	1342	4930
214	1346	4917
215	1352	4909
216	1357	4897
217	1362	4887
218	1368	4878
219	1373	4870
220	1377	4857
221	1383	4849
222	1388	4837
223	1393	4828
224	1399	4821
225	1405	4813
226	1409	4800
227	1414	4790
228	1419	4780
229	1425	4770
230	1429	4757
231	1435	4752
232	1440	4740
233	1444	4728
234	1449	4718
235	1454	4708
236	1458	4696
237	1464	4690
238	1470	4683
239	1475	4672
240	1481	4665
241	1486	4657
242	1491	4645
243	1496	4636
244	1501	4627
245	1506	4618
246	1512	4610
247	1518	4604
248	1523	4594
249	1528	4584
250	1533	4576
251	1538	4567
252	1544	4559
253	1555	4567
254	1559	4557
255	1565	4549
256	1571	4542
257	1576	4534
258	1583	4531
259	1589	4525
260	1595	4516
261	1600	4508
262	1605	4498
263	1609	4487
264	1614	4477
265	1619	4469
266	1623	4458
267	1629	4449
268	1634	4441
269	1639	4433
270	1644	4423
271	1649	4415
272	1653	4403
273	1658	4393
274	1662	4384
275	1668	4376
276	1673	4368
277	1681	4366
278	1689	4366
279	1694	4358
280	1700	4351
281	1705	4343
282	1710	4334
283	1716	4327
284	1721	4318
285	1726	4310
286	1732	4304
287	1737	4296
288	1742	4287
289	1748	4280
290	1752	4270
291	1756	4260
292	1761	4251
293	1767	4243
294	1771	4233
295	1776	4225
296	1782	4219
297	1787	4211
298	1792	4201
299	1798	4196
300	1802	4186
301	1807	4178
302	1812	4169
303	1817	4162
304	1822	4152
305	1827	4145
306	1832	4137
307	1838	4130
308	1842	4120
309	1847	4113
310	1852	4103
311	1857	4096
312	1863	4090
313	1868	4081
314	1872	4072
315	1878	4065
316	1882	4056
317	1886	4046
318	1891	4037
319	1896	4030
320	1901	4022
321	1905	4012
